iter	MultiClass
0	1.00287889
1	0.8001368343
2	0.6886132526
3	0.6190028314
4	0.5613234877
5	0.5185104319
6	0.483022933
7	0.4504253343
8	0.4240260393
9	0.3987608863
10	0.3776110315
11	0.3589477823
12	0.3442540231
13	0.3307758722
14	0.3196147799
15	0.3078270747
16	0.2943716604
17	0.2844080684
18	0.2730739375
19	0.2653940637
20	0.2587993683
21	0.255532886
22	0.2504644243
23	0.2452085234
24	0.2399819349
25	0.2350376082
26	0.2287889686
27	0.224546225
28	0.2192912452
29	0.2157716193
30	0.2103666153
31	0.2059893565
32	0.2023307899
33	0.1994364829
34	0.1962522174
35	0.1908368701
36	0.1886665733
37	0.1876983761
38	0.1842273255
39	0.1823902034
40	0.1805900745
41	0.1784446334
42	0.176565445
43	0.174852682
44	0.1708640709
45	0.168180092
46	0.1669549054
47	0.1648685376
48	0.163222842
49	0.1595981222
50	0.1574083686
51	0.1554343691
52	0.1527534822
53	0.1507660481
54	0.1487810875
55	0.1466873007
56	0.1455489159
57	0.1441243359
58	0.1434184708
59	0.1425807162
60	0.1416058244
61	0.1400303999
62	0.1386506857
63	0.1376251477
64	0.1367308566
65	0.1337771999
66	0.1314315739
67	0.1307097954
68	0.1297035536
69	0.12703518
70	0.1257133396
71	0.1242345187
72	0.1223846825
73	0.1217775383
74	0.1189184973
75	0.1172717201
76	0.1166766996
77	0.1154286341
78	0.1145966386
79	0.113628466
80	0.1127611073
81	0.1120757416
82	0.1117338086
83	0.1106454958
84	0.1099427582
85	0.1091530432
86	0.1082822072
87	0.1066769322
88	0.1063935948
89	0.1055611371
90	0.1049000072
91	0.1035516898
92	0.1026064955
93	0.1022059261
94	0.1015326643
95	0.100536637
96	0.09960439873
97	0.09897550091
98	0.09842380821
99	0.09772957202
100	0.09700965564
101	0.096418594
102	0.09600326047
103	0.09503411217
104	0.09419893007
105	0.09307847154
106	0.09259206793
107	0.09211443299
108	0.09153763379
109	0.09113812568
110	0.09000659714
111	0.0894346097
112	0.08833144747
113	0.08761409228
114	0.08713697172
115	0.08611351076
116	0.08538410083
117	0.08480911393
118	0.08413983949
119	0.08350061844
120	0.08269929722
121	0.08206573831
122	0.08157294599
123	0.08067772302
124	0.08020791808
125	0.07943791243
126	0.07910572974
127	0.07878169608
128	0.07824473012
129	0.07717977482
130	0.07686817343
131	0.07602774021
132	0.07590158982
133	0.07528014746
134	0.07416121455
135	0.07374280288
136	0.07330658741
137	0.07257602186
138	0.07199616526
139	0.07169589269
140	0.07123144338
141	0.07090506615
142	0.07044258109
143	0.07005936203
144	0.06985058313
145	0.0693680294
146	0.06873270803
147	0.06860086576
148	0.06826098207
149	0.06721024744
150	0.06705293112
151	0.06663543956
152	0.06626870992
153	0.06588295749
154	0.06519151192
155	0.06495074951
156	0.06458070767
157	0.06441280658
158	0.06402747229
159	0.06331144875
160	0.06309764272
